2026-04-15 23:28:03,766 [INFO] Loaded state: phase 1
2026-04-15 23:28:04,205 [INFO] Running auto-loop mode
2026-04-15 23:28:04,206 [INFO] Auto-loop: target=0.85, max_iterations=1
2026-04-15 23:28:04,206 [INFO] 
############################################################
2026-04-15 23:28:04,206 [INFO]   AUTO-LOOP ITERATION 1/1
2026-04-15 23:28:04,207 [INFO] ############################################################

2026-04-15 23:28:04,207 [INFO] 
============================================================
2026-04-15 23:28:04,207 [INFO]   PHASE 1
2026-04-15 23:28:04,207 [INFO] ============================================================

2026-04-15 23:28:04,208 [INFO] Phase 1 started
2026-04-15 23:28:04,209 [INFO] === Phase 1.1: OpenAlex bulk search (Layer 1) ===
2026-04-15 23:28:04,210 [INFO]   [1/38] OpenAlex: 'model collapse generative AI recursive training'
2026-04-15 23:28:05,373 [DEBUG]   OpenAlex 'model collapse generative AI recursive t': page 1, got 100
2026-04-15 23:28:05,909 [DEBUG]   OpenAlex 'model collapse generative AI recursive t': page 2, got 100
2026-04-15 23:28:06,540 [DEBUG]   OpenAlex 'model collapse generative AI recursive t': page 3, got 100
2026-04-15 23:28:06,558 [INFO]     → 300 results
2026-04-15 23:28:06,558 [INFO]   [2/38] OpenAlex: 'self-consuming generative models MAD autophagy'
2026-04-15 23:28:07,064 [DEBUG]   OpenAlex 'self-consuming generative models MAD aut': page 1, got 49
2026-04-15 23:28:07,175 [INFO]     → 49 results
2026-04-15 23:28:07,175 [INFO]   [3/38] OpenAlex: 'tail collapse distribution shift scaling laws'
2026-04-15 23:28:08,887 [DEBUG]   OpenAlex 'tail collapse distribution shift scaling': page 1, got 100
2026-04-15 23:28:10,053 [DEBUG]   OpenAlex 'tail collapse distribution shift scaling': page 2, got 100
2026-04-15 23:28:10,062 [INFO]     → 200 results
2026-04-15 23:28:10,062 [INFO]   [4/38] OpenAlex: 'AI generated content web pollution contamination percentage'
2026-04-15 23:28:11,378 [DEBUG]   OpenAlex 'AI generated content web pollution conta': page 1, got 100
2026-04-15 23:28:12,073 [DEBUG]   OpenAlex 'AI generated content web pollution conta': page 2, got 100
2026-04-15 23:28:12,093 [INFO]     → 200 results
2026-04-15 23:28:12,093 [INFO]   [5/38] OpenAlex: 'synthetic text internet CommonCrawl bot content fraction'
2026-04-15 23:28:12,566 [DEBUG]   OpenAlex 'synthetic text internet CommonCrawl bot ': page 1, got 7
2026-04-15 23:28:12,666 [INFO]     → 7 results
2026-04-15 23:28:12,666 [INFO]   [6/38] OpenAlex: 'LLM generated text prevalence public web retrieval contamination longitudinal measurement'
2026-04-15 23:28:13,284 [DEBUG]   OpenAlex 'LLM generated text prevalence public web': page 1, got 12
2026-04-15 23:28:13,397 [INFO]     → 12 results
2026-04-15 23:28:13,398 [INFO]   [7/38] OpenAlex: 'AI text detection watermarking limitations adversarial'
2026-04-15 23:28:14,115 [DEBUG]   OpenAlex 'AI text detection watermarking limitatio': page 1, got 100
2026-04-15 23:28:14,668 [DEBUG]   OpenAlex 'AI text detection watermarking limitatio': page 2, got 100
2026-04-15 23:28:14,679 [INFO]     → 200 results
2026-04-15 23:28:14,679 [INFO]   [8/38] OpenAlex: 'n-gram entropy perplexity text diversity measurement'
2026-04-15 23:28:15,753 [DEBUG]   OpenAlex 'n-gram entropy perplexity text diversity': page 1, got 100
2026-04-15 23:28:16,213 [DEBUG]   OpenAlex 'n-gram entropy perplexity text diversity': page 2, got 100
2026-04-15 23:28:16,734 [DEBUG]   OpenAlex 'n-gram entropy perplexity text diversity': page 3, got 87
2026-04-15 23:28:16,755 [INFO]     → 287 results
2026-04-15 23:28:16,755 [INFO]   [9/38] OpenAlex: 'KL divergence Renyi divergence text distribution analysis'
2026-04-15 23:28:17,567 [DEBUG]   OpenAlex 'KL divergence Renyi divergence text dist': page 1, got 100
2026-04-15 23:28:18,013 [DEBUG]   OpenAlex 'KL divergence Renyi divergence text dist': page 2, got 75
2026-04-15 23:28:18,024 [INFO]     → 175 results
2026-04-15 23:28:18,024 [INFO]   [10/38] OpenAlex: 'type-token ratio lexical diversity computational linguistics'
2026-04-15 23:28:18,875 [DEBUG]   OpenAlex 'type-token ratio lexical diversity compu': page 1, got 100
2026-04-15 23:28:19,393 [DEBUG]   OpenAlex 'type-token ratio lexical diversity compu': page 2, got 100
2026-04-15 23:28:19,409 [INFO]     → 200 results
2026-04-15 23:28:19,409 [INFO]   [11/38] OpenAlex: 'surprisal entropy corpus drift pretraining data quality measurement'
2026-04-15 23:28:19,881 [DEBUG]   OpenAlex 'surprisal entropy corpus drift pretraini': page 1, got 34
2026-04-15 23:28:20,103 [INFO]     → 34 results
2026-04-15 23:28:20,104 [INFO]   [12/38] OpenAlex: '"linguistic diversity" synthetic text recursive training metrics'
2026-04-15 23:28:20,707 [DEBUG]   OpenAlex '"linguistic diversity" synthetic text re': page 1, got 100
2026-04-15 23:28:21,282 [DEBUG]   OpenAlex '"linguistic diversity" synthetic text re': page 2, got 48
2026-04-15 23:28:21,296 [INFO]     → 148 results
2026-04-15 23:28:21,296 [INFO]   [13/38] OpenAlex: 'data quality LLM training curation pretraining scaling'
2026-04-15 23:28:22,125 [DEBUG]   OpenAlex 'data quality LLM training curation pretr': page 1, got 100
2026-04-15 23:28:22,698 [DEBUG]   OpenAlex 'data quality LLM training curation pretr': page 2, got 100
2026-04-15 23:28:23,592 [DEBUG]   OpenAlex 'data quality LLM training curation pretr': page 3, got 100
2026-04-15 23:28:23,613 [INFO]     → 300 results
2026-04-15 23:28:23,613 [INFO]   [14/38] OpenAlex: 'data deduplication filtering training effect language model'
2026-04-15 23:28:24,517 [DEBUG]   OpenAlex 'data deduplication filtering training ef': page 1, got 100
2026-04-15 23:28:25,366 [DEBUG]   OpenAlex 'data deduplication filtering training ef': page 2, got 100
2026-04-15 23:28:25,379 [INFO]     → 200 results
2026-04-15 23:28:25,379 [INFO]   [15/38] OpenAlex: 'Phi textbook quality data pretraining small model'
2026-04-15 23:28:25,872 [DEBUG]   OpenAlex 'Phi textbook quality data pretraining sm': page 1, got 100
2026-04-15 23:28:25,883 [INFO]     → 100 results
2026-04-15 23:28:25,883 [INFO]   [16/38] OpenAlex: 'RLHF human feedback cost preference data quality'
2026-04-15 23:28:26,705 [DEBUG]   OpenAlex 'RLHF human feedback cost preference data': page 1, got 100
2026-04-15 23:28:27,427 [DEBUG]   OpenAlex 'RLHF human feedback cost preference data': page 2, got 100
2026-04-15 23:28:27,442 [INFO]     → 200 results
2026-04-15 23:28:27,442 [INFO]   [17/38] OpenAlex: 'human annotation synthetic labeling alignment comparison'
2026-04-15 23:28:29,115 [DEBUG]   OpenAlex 'human annotation synthetic labeling alig': page 1, got 100
2026-04-15 23:28:29,931 [DEBUG]   OpenAlex 'human annotation synthetic labeling alig': page 2, got 100
2026-04-15 23:28:29,945 [INFO]     → 200 results
2026-04-15 23:28:29,945 [INFO]   [18/38] OpenAlex: 'citizen science contributor platform provenance data collection'
2026-04-15 23:28:30,815 [DEBUG]   OpenAlex 'citizen science contributor platform pro': page 1, got 100
2026-04-15 23:28:31,470 [DEBUG]   OpenAlex 'citizen science contributor platform pro': page 2, got 100
2026-04-15 23:28:31,483 [INFO]     → 200 results
2026-04-15 23:28:31,483 [INFO]   [19/38] OpenAlex: 'campus smartphone sensing behavioral data collection platform provenance'
2026-04-15 23:28:32,179 [DEBUG]   OpenAlex 'campus smartphone sensing behavioral dat': page 1, got 78
2026-04-15 23:28:32,324 [INFO]     → 78 results
2026-04-15 23:28:32,324 [INFO]   [20/38] OpenAlex: 'privacy policies over time web document corpus longitudinal'
2026-04-15 23:28:33,365 [DEBUG]   OpenAlex 'privacy policies over time web document ': page 1, got 100
2026-04-15 23:28:34,047 [DEBUG]   OpenAlex 'privacy policies over time web document ': page 2, got 100
2026-04-15 23:28:34,063 [INFO]     → 200 results
2026-04-15 23:28:34,063 [INFO]   [21/38] OpenAlex: 'online activity diversity dominance evolution web longitudinal'
2026-04-15 23:28:35,129 [DEBUG]   OpenAlex 'online activity diversity dominance evol': page 1, got 100
2026-04-15 23:28:36,001 [DEBUG]   OpenAlex 'online activity diversity dominance evol': page 2, got 100
2026-04-15 23:28:36,019 [INFO]     → 200 results
2026-04-15 23:28:36,020 [INFO]   [22/38] OpenAlex: 'Wikipedia quality change web over time measurement'
2026-04-15 23:28:37,057 [DEBUG]   OpenAlex 'Wikipedia quality change web over time m': page 1, got 100
2026-04-15 23:28:37,710 [DEBUG]   OpenAlex 'Wikipedia quality change web over time m': page 2, got 100
2026-04-15 23:28:37,724 [INFO]     → 200 results
2026-04-15 23:28:37,724 [INFO]   [23/38] OpenAlex: 'FineWeb RefinedWeb Common Crawl web corpus quality temporal measurement'
2026-04-15 23:28:37,944 [DEBUG]   OpenAlex 'FineWeb RefinedWeb Common Crawl web corp': page 1, got 3
2026-04-15 23:28:38,068 [INFO]     → 3 results
2026-04-15 23:28:38,068 [INFO]   [24/38] OpenAlex: '"AI-generated content" Wikipedia longitudinal measurement'
2026-04-15 23:28:38,605 [DEBUG]   OpenAlex '"AI-generated content" Wikipedia longitu': page 1, got 36
2026-04-15 23:28:38,743 [INFO]     → 36 results
2026-04-15 23:28:38,743 [INFO]   [25/38] OpenAlex: 'RefinedWeb C4 Common Crawl corpus documentation quality filtering'
2026-04-15 23:28:39,441 [DEBUG]   OpenAlex 'RefinedWeb C4 Common Crawl corpus docume': page 1, got 40
2026-04-15 23:28:39,551 [INFO]     → 40 results
2026-04-15 23:28:39,552 [INFO]   [26/38] OpenAlex: 'SocialIQA social reasoning benchmark evaluation'
2026-04-15 23:28:40,200 [DEBUG]   OpenAlex 'SocialIQA social reasoning benchmark eva': page 1, got 100
2026-04-15 23:28:40,679 [DEBUG]   OpenAlex 'SocialIQA social reasoning benchmark eva': page 2, got 100
2026-04-15 23:28:40,690 [INFO]     → 200 results
2026-04-15 23:28:40,690 [INFO]   [27/38] OpenAlex: 'social intelligence NLP empathy dialogue benchmark'
2026-04-15 23:28:41,548 [DEBUG]   OpenAlex 'social intelligence NLP empathy dialogue': page 1, got 100
2026-04-15 23:28:41,972 [DEBUG]   OpenAlex 'social intelligence NLP empathy dialogue': page 2, got 100
2026-04-15 23:28:41,989 [INFO]     → 200 results
2026-04-15 23:28:41,989 [INFO]   [28/38] OpenAlex: 'social commonsense reasoning language model evaluation'
2026-04-15 23:28:42,713 [DEBUG]   OpenAlex 'social commonsense reasoning language mo': page 1, got 100
2026-04-15 23:28:43,341 [DEBUG]   OpenAlex 'social commonsense reasoning language mo': page 2, got 100
2026-04-15 23:28:43,356 [INFO]     → 200 results
2026-04-15 23:28:43,357 [INFO]   [29/38] OpenAlex: 'LoRA QLoRA fine-tune data composition ablation alignment'
2026-04-15 23:28:44,029 [DEBUG]   OpenAlex 'LoRA QLoRA fine-tune data composition ab': page 1, got 100
2026-04-15 23:28:44,529 [DEBUG]   OpenAlex 'LoRA QLoRA fine-tune data composition ab': page 2, got 100
2026-04-15 23:28:44,546 [INFO]     → 200 results
2026-04-15 23:28:44,547 [INFO]   [30/38] OpenAlex: 'LIMA quality over quantity instruction tuning alignment'
2026-04-15 23:28:45,394 [DEBUG]   OpenAlex 'LIMA quality over quantity instruction t': page 1, got 100
2026-04-15 23:28:45,927 [DEBUG]   OpenAlex 'LIMA quality over quantity instruction t': page 2, got 100
2026-04-15 23:28:45,941 [INFO]     → 200 results
2026-04-15 23:28:45,941 [INFO]   [31/38] OpenAlex: 'synthetic versus human instruction data ablation fine-tuning language model'
2026-04-15 23:28:46,785 [DEBUG]   OpenAlex 'synthetic versus human instruction data ': page 1, got 100
2026-04-15 23:28:47,509 [DEBUG]   OpenAlex 'synthetic versus human instruction data ': page 2, got 100
2026-04-15 23:28:47,525 [INFO]     → 200 results
2026-04-15 23:28:47,525 [INFO]   [32/38] OpenAlex: 'Self-Instruct WizardLM OpenAssistant instruction tuning data selection'
2026-04-15 23:28:48,238 [DEBUG]   OpenAlex 'Self-Instruct WizardLM OpenAssistant ins': page 1, got 100
2026-04-15 23:28:48,721 [DEBUG]   OpenAlex 'Self-Instruct WizardLM OpenAssistant ins': page 2, got 34
2026-04-15 23:28:48,738 [INFO]     → 134 results
2026-04-15 23:28:48,738 [INFO]   [33/38] OpenAlex: '"From Quantity to Quality" instruction tuning data selection'
2026-04-15 23:28:49,676 [DEBUG]   OpenAlex '"From Quantity to Quality" instruction t': page 1, got 100
2026-04-15 23:28:50,292 [DEBUG]   OpenAlex '"From Quantity to Quality" instruction t': page 2, got 100
2026-04-15 23:28:50,307 [INFO]     → 200 results
2026-04-15 23:28:50,308 [INFO]   [34/38] OpenAlex: 'inference-time scaling social reasoning language model'
2026-04-15 23:28:51,243 [DEBUG]   OpenAlex 'inference-time scaling social reasoning ': page 1, got 100
2026-04-15 23:28:52,095 [DEBUG]   OpenAlex 'inference-time scaling social reasoning ': page 2, got 100
2026-04-15 23:28:52,112 [INFO]     → 200 results
2026-04-15 23:28:52,112 [INFO]   [35/38] OpenAlex: 'test-time compute theory of mind social reasoning'
2026-04-15 23:28:53,180 [DEBUG]   OpenAlex 'test-time compute theory of mind social ': page 1, got 100
2026-04-15 23:28:54,003 [DEBUG]   OpenAlex 'test-time compute theory of mind social ': page 2, got 100
2026-04-15 23:28:54,021 [INFO]     → 200 results
2026-04-15 23:28:54,021 [INFO]   [36/38] OpenAlex: 'chain-of-thought social reasoning benchmark language model'
2026-04-15 23:28:54,757 [DEBUG]   OpenAlex 'chain-of-thought social reasoning benchm': page 1, got 100
2026-04-15 23:28:55,536 [DEBUG]   OpenAlex 'chain-of-thought social reasoning benchm': page 2, got 100
2026-04-15 23:28:55,547 [INFO]     → 200 results
2026-04-15 23:28:55,547 [INFO]   [37/38] OpenAlex: 'extended thinking perspective taking social cognition llm'
2026-04-15 23:28:56,699 [DEBUG]   OpenAlex 'extended thinking perspective taking soc': page 1, got 100
2026-04-15 23:28:57,236 [DEBUG]   OpenAlex 'extended thinking perspective taking soc': page 2, got 100
2026-04-15 23:28:57,255 [INFO]     → 200 results
2026-04-15 23:28:57,255 [INFO]   [38/38] OpenAlex: 'model scale social reasoning emergence benchmark'
2026-04-15 23:28:58,331 [DEBUG]   OpenAlex 'model scale social reasoning emergence b': page 1, got 100
2026-04-15 23:28:58,980 [DEBUG]   OpenAlex 'model scale social reasoning emergence b': page 2, got 100
2026-04-15 23:28:58,997 [INFO]     → 200 results
2026-04-15 23:28:59,159 [INFO] Total from OpenAlex: 6301 papers
2026-04-15 23:28:59,162 [INFO] Phase 1 step 'openalex_search' completed
2026-04-15 23:28:59,162 [INFO] === Phase 1.1.5: Lens targeted supplementation ===
2026-04-15 23:28:59,163 [INFO]   [1/20] Lens: '("AI-generated content" OR "synthetic text" OR "LLM-generated answers"'
2026-04-15 23:29:01,018 [INFO]     → raw=50 kept=18
2026-04-15 23:29:01,018 [INFO]   [2/20] Lens: '("retrieval collapses" OR "AI pollutes the web" OR contamination) AND '
2026-04-15 23:29:01,379 [INFO]     → raw=30 kept=1
2026-04-15 23:29:01,379 [INFO]   [3/20] Lens: '("AI-generated content" OR "LLM-generated text" OR "synthetic text") A'
2026-04-15 23:29:02,433 [INFO]     → raw=30 kept=3
2026-04-15 23:29:02,433 [INFO]   [4/20] Lens: '("KL divergence" OR Renyi OR entropy OR perplexity OR "type-token rati'
2026-04-15 23:29:02,879 [INFO]     → raw=50 kept=25
2026-04-15 23:29:02,879 [INFO]   [5/20] Lens: '("information theory" OR entropy OR divergence) AND (text OR corpus OR'
2026-04-15 23:29:03,983 [INFO]     → raw=40 kept=20
2026-04-15 23:29:03,983 [INFO]   [6/20] Lens: '(surprisal OR entropy OR perplexity OR divergence) AND (corpus OR pret'
2026-04-15 23:29:04,442 [INFO]     → raw=30 kept=6
2026-04-15 23:29:04,442 [INFO]   [7/20] Lens: '("linguistic diversity" OR "type-token ratio" OR entropy) AND ("synthe'
2026-04-15 23:29:05,328 [INFO]     → raw=30 kept=9
2026-04-15 23:29:05,330 [INFO]   [8/20] Lens: '(verification OR "human curation" OR "human feedback") AND (synthetic '
2026-04-15 23:29:06,013 [INFO]     → raw=40 kept=4
2026-04-15 23:29:06,013 [INFO]   [9/20] Lens: '("citizen science" OR contributor OR participant OR "community archive'
2026-04-15 23:30:00,048 [INFO]     → raw=50 kept=5
2026-04-15 23:30:00,049 [INFO]   [10/20] Lens: '("data provenance" OR traceability OR "data lineage") AND (contributor'
2026-04-15 23:30:01,757 [INFO]     → raw=40 kept=6
2026-04-15 23:30:01,758 [INFO]   [11/20] Lens: '(campus OR smartphone OR sensing OR "reality mining" OR studentlife) A'
2026-04-15 23:30:03,175 [INFO]     → raw=30 kept=0
2026-04-15 23:30:03,175 [INFO]   [12/20] Lens: '("privacy policies over time" OR PrivaSeer OR "online activity") AND ('
2026-04-15 23:30:04,751 [INFO]     → raw=50 kept=4
2026-04-15 23:30:04,751 [INFO]   [13/20] Lens: '(Wikipedia OR SERP OR "internet archive") AND ("quality change" OR rea'
2026-04-15 23:30:06,357 [INFO]     → raw=40 kept=11
2026-04-15 23:30:06,357 [INFO]   [14/20] Lens: '(FineWeb OR RefinedWeb OR "Common Crawl") AND (quality OR curation OR '
2026-04-15 23:30:07,215 [INFO]     → raw=30 kept=1
2026-04-15 23:30:07,215 [INFO]   [15/20] Lens: '(Wikipedia OR wiki) AND ("AI-generated content" OR synthetic content) '
2026-04-15 23:30:07,686 [INFO]     → raw=30 kept=3
2026-04-15 23:30:07,686 [INFO]   [16/20] Lens: '(LIMA OR "quality over quantity" OR "instruction tuning") AND (ablatio'
2026-04-15 23:30:09,729 [INFO]     → raw=50 kept=0
2026-04-15 23:30:09,730 [INFO]   [17/20] Lens: '((synthetic OR human OR curated) AND "instruction data" AND (ablation '
2026-04-15 23:30:59,950 [INFO]     → raw=40 kept=1
2026-04-15 23:30:59,950 [INFO]   [18/20] Lens: '(Self-Instruct OR WizardLM OR OpenAssistant OR "instruction data selec'
2026-04-15 23:31:02,081 [INFO]     → raw=30 kept=1
2026-04-15 23:31:02,081 [INFO]   [19/20] Lens: '("inference-time scaling" OR "test-time compute" OR "extended thinking'
2026-04-15 23:31:04,164 [INFO]     → raw=40 kept=16
2026-04-15 23:31:04,164 [INFO]   [20/20] Lens: '("model scale" OR scaling OR emergence) AND ("social reasoning" OR "so'
2026-04-15 23:31:05,145 [INFO]     → raw=30 kept=3
2026-04-15 23:31:05,154 [INFO] Total from Lens: 137 papers
2026-04-15 23:31:05,155 [INFO] Phase 1 step 'lens_search' completed
2026-04-15 23:31:05,155 [INFO] === Phase 1.2: S2 citation expansion (Layer 2) ===
2026-04-15 23:31:05,156 [INFO]   Resolving seed: AI models collapse when trained on recursively generated dat...
2026-04-15 23:31:05,356 [INFO]     → Found: 603d3f90fc40f79ff512
2026-04-15 23:31:05,357 [INFO]   Resolving seed: Self-Consuming Generative Models Go MAD...
2026-04-15 23:31:05,670 [INFO]     → Found: f200bafae9d64e2bfded
2026-04-15 23:31:05,671 [INFO]   Resolving seed: Model collapse demystified...
2026-04-15 23:31:06,061 [WARNING] S2 429, backing off 3s (attempt 1)
2026-04-15 23:31:09,386 [INFO]     → Found: 6404e954b18c3677c529
2026-04-15 23:31:09,387 [INFO]   Resolving seed: Is Model Collapse Inevitable...
2026-04-15 23:31:09,736 [INFO]     → Found: 321788e2901c2b9c0544
2026-04-15 23:31:09,736 [INFO]   Resolving seed: Large language models entropy deficit...
2026-04-15 23:31:09,949 [WARNING]     → Could not resolve: Large language models entropy deficit
2026-04-15 23:31:09,949 [INFO]   Resolving seed: Social IQa: Commonsense Reasoning about Social Interactions...
2026-04-15 23:31:10,495 [WARNING] S2 429, backing off 3s (attempt 1)
2026-04-15 23:31:13,935 [INFO]     → Found: b9e4681b6c4dad153f7c
2026-04-15 23:31:13,936 [INFO]   Resolving seed: The Curse of Recursion: Training on Generated Data Makes Mod...
2026-04-15 23:31:14,202 [INFO]     → Found: 155aec5cff650263a4c7
2026-04-15 23:31:14,202 [INFO]   Resolving seed: A Watermark for Large Language Models...
2026-04-15 23:31:14,451 [INFO]     → Found: cb5b71a622aff47014d4
2026-04-15 23:31:14,451 [INFO]   Resolving seed: Reality Mining: Sensing Complex Social Systems...
2026-04-15 23:31:15,502 [INFO]     → Found: 99d2b2b6368d99574420
2026-04-15 23:31:15,503 [INFO]   Resolving seed: StudentLife: Assessing Mental Health, Academic Performance a...
2026-04-15 23:31:15,732 [WARNING] S2 429, backing off 3s (attempt 1)
2026-04-15 23:31:19,231 [INFO]     → Found: 4909210fc73cc4a432fb
2026-04-15 23:31:19,232 [INFO]   Resolving seed: LIMA: Less Is More for Alignment...
2026-04-15 23:31:19,948 [INFO]     → Found: 546d0624adfc6e18fb87
2026-04-15 23:31:19,949 [INFO]   Resolving seed: The FineWeb Datasets: Decanting the Web for the Finest Text ...
2026-04-15 23:31:20,221 [INFO]     → Found: b83a9e35c3aeeb37708e
2026-04-15 23:31:20,221 [INFO]   Resolving seed: The RefinedWeb Dataset for Falcon LLM: Outperforming Curated...
2026-04-15 23:31:20,476 [INFO]     → Found: 7a1e71cb1310c4a873e7
