iteration	overall	narrative	contradiction	gap	coverage	honesty	weakest	action
1	0.63	0.7	0.8	0.7	0.6	0.3	honesty	human
1	0.597	0.6	0.8	0.78	0.3	0.64	coverage	human
1	0.656	0.7	0.54	0.84	0.5	0.71	coverage	human
1	0.552	0.3	0.68	0.78	0.63	0.41	narrative	human
1	0.761	0.8	0.71	0.86	0.7	0.72	coverage	backtrack
1	0.732	0.6	0.7	0.89	0.74	0.76	narrative	backtrack
1	0.777	0.74	0.76	0.88	0.74	0.78	narrative	backtrack
1	0.781	0.8	0.79	0.87	0.72	0.72	coverage	backtrack
1	0.822	0.8	0.76	0.86	0.84	0.84	contradiction	done
1	0.79	0.8	0.58	0.88	0.79	0.86	contradiction	human
1	0.81	0.76	0.82	0.88	0.78	0.84	narrative	done
1	0.735	0.78	0.62	0.72	0.78	0.72	contradiction	backtrack
1	0.791	0.82	0.72	0.78	0.82	0.78	contradiction	backtrack
1	0.766	0.72	0.72	0.78	0.82	0.78	narrative	backtrack
1	0.762	0.72	0.72	0.76	0.82	0.78	narrative	backtrack
1	0.758	0.72	0.72	0.74	0.82	0.78	narrative	backtrack
1	0.814	0.78	0.84	0.78	0.89	0.76	honesty	done
1	0.815	0.84	0.87	0.79	0.82	0.74	honesty	done
1	0.717	0.59	0.84	0.67	0.78	0.76	narrative	backtrack
1	0.698	0.48	0.87	0.68	0.76	0.81	narrative	human
1	0.722	0.72	0.62	0.74	0.76	0.74	contradiction	backtrack
1	0.729	0.68	0.72	0.72	0.76	0.78	narrative	backtrack
1	0.724	0.68	0.72	0.72	0.74	0.78	narrative	backtrack
1	0.734	0.72	0.72	0.72	0.74	0.78	narrative	backtrack
2	0.729	0.72	0.72	0.72	0.72	0.78	narrative	backtrack
1	0.734	0.72	0.72	0.72	0.74	0.78	narrative	backtrack
3	0.734	0.72	0.72	0.72	0.74	0.78	narrative	backtrack
1	0.69	0.46	0.84	0.71	0.72	0.85	narrative	human
1	0.672	0.4	0.84	0.72	0.79	0.7	narrative	human
1	0.683	0.46	0.84	0.68	0.78	0.74	narrative	human
1	0.666	0.4	0.86	0.58	0.78	0.84	narrative	human
1	0.75	0.6	0.83	0.81	0.74	0.86	narrative	backtrack
1	0.65	0.4	0.82	0.58	0.73	0.86	narrative	human
1	0.75	0.67	0.86	0.72	0.77	0.78	narrative	done
1	0.764	0.6	0.84	0.72	0.83	0.91	narrative	human
1	0.794	0.74	0.8	0.84	0.78	0.84	narrative	done
1	0.79	0.72	0.84	0.78	0.78	0.89	narrative	done
1	0.85	0.84	0.86	0.86	0.81	0.91	coverage	done
